primary_key,median_house_value_capped,median_house_age_grouped,total_households,bedrooms_per_household,less_than_1h_ocean,inland,island,near_bay,near_ocean,event_time
28 Palms,222200.0,20,923.0,1.017334777898158,1,0,0,0,0,2025-05-24T22:50:07Z
Acorn Industrial,81300.0,50,147.0,1.6598639455782314,0,0,0,1,0,2025-05-24T22:50:07Z
Adams Hill,250733.33333333334,35,2962.0,1.0536799459824442,1,0,0,0,0,2025-05-24T22:50:07Z
Agua Mansa Industrial Corridor,112300.0,10,516.0,1.1027131782945736,0,1,0,0,0,2025-05-24T22:50:07Z
Al Tahoe,109180.0,20,1244.0,1.6069131832797428,0,1,0,0,0,2025-05-24T22:50:07Z
Alamitos Beach,188194.11764705883,31,11285.0,1.1190075321222863,0,0,0,0,1,2025-05-24T22:50:07Z
Alessandro,68075.0,32,1634.0,1.047123623011016,0,1,0,0,0,2025-05-24T22:50:07Z
Alessandro Heights,315200.0,0,1107.0,1.066847335140018,0,1,0,0,0,2025-05-24T22:50:07Z
Alhambra Triangle,88850.0,48,1528.0,1.1138743455497382,0,1,0,0,0,2025-05-24T22:50:07Z
Alice,404300.0,30,483.0,1.020703933747412,0,0,0,1,0,2025-05-24T22:50:07Z
Allied Gardens,172872.72727272726,25,3982.0,1.0183324962330487,0,0,0,0,1,2025-05-24T22:50:07Z
Almaden,394811.22222222225,14,11495.0,1.018007829491083,1,0,0,0,0,2025-05-24T22:50:07Z
Almaden - Clara Filice,219050.0,25,1070.0,1.0719626168224299,1,0,0,0,0,2025-05-24T22:50:07Z
Almond Tree,107450.0,10,815.0,0.9496932515337423,0,1,0,0,0,2025-05-24T22:50:07Z
Almonte,337700.0,40,753.0,0.9814077025232404,0,0,0,1,0,2025-05-24T22:50:07Z
Alta Loma,158800.0,20,524.0,0.9847328244274809,0,1,0,0,0,2025-05-24T22:50:07Z
Alta Mesa,308150.0,23,1780.0,1.0286516853932584,0,0,0,0,1,2025-05-24T22:50:07Z
Alta Vista Homeowners Association,275900.0,30,512.0,0.984375,1,0,0,0,0,2025-05-24T22:50:07Z
Alum Rock,210539.6551724138,23,34245.0,1.0184260475981894,1,0,0,0,0,2025-05-24T22:50:07Z
Alviso,135250.0,10,567.0,1.0687830687830688,1,0,0,0,0,2025-05-24T22:50:07Z
Amber Hills,140700.0,10,267.0,0.9176029962546817,0,1,0,0,0,2025-05-24T22:50:07Z
Amberton,164800.0,10,1014.0,0.9714003944773175,0,1,0,0,0,2025-05-24T22:50:07Z
American River Canyon,390800.0,10,627.0,1.2547846889952152,0,1,0,0,0,2025-05-24T22:50:07Z
Anaheim Hills,310639.17391304346,10,12797.0,1.0621239352973353,1,0,0,0,0,2025-05-24T22:50:07Z
Anaheim Resort,183284.61538461538,21,7292.0,1.0604772353263852,1,0,0,0,0,2025-05-24T22:50:07Z
Antelope Woods,116950.0,10,1163.0,1.0541702493551162,0,1,0,0,0,2025-05-24T22:50:07Z
Aquatic Park,140600.0,50,128.0,0.9921875,0,0,0,1,0,2025-05-24T22:50:07Z
Arbors at Oakshade,194300.0,10,636.0,0.9811320754716981,0,1,0,0,0,2025-05-24T22:50:07Z
Arden Oaks,288833.3333333333,30,842.0,1.005938242280285,0,1,0,0,0,2025-05-24T22:50:07Z
Arden Oaks Vista,133300.0,30,583.0,0.9519725557461407,0,1,0,0,0,2025-05-24T22:50:07Z
Arden Park Vista,164116.66666666666,30,2132.0,1.0333020637898687,0,1,0,0,0,2025-05-24T22:50:07Z
Ardenwood,278200.0,0,1797.0,1.011686143572621,0,0,0,1,0,2025-05-24T22:50:07Z
Arlanza,107500.0,22,4677.0,1.06136412230062,0,1,0,0,0,2025-05-24T22:50:07Z
Arleta,176779.16666666666,29,7427.0,1.0188501413760602,1,0,0,0,0,2025-05-24T22:50:07Z
Arlington,123916.66666666667,23,4104.0,1.0662768031189085,0,1,0,0,0,2025-05-24T22:50:07Z
Arlington Heights,192575.0,18,1548.0,0.9851421188630491,0,1,0,0,0,2025-05-24T22:50:07Z
Arlington South,129700.0,15,2660.0,1.1026315789473684,0,1,0,0,0,2025-05-24T22:50:07Z
Arrowhead,99566.66666666667,37,1129.0,1.0221434898139947,0,1,0,0,0,2025-05-24T22:50:07Z
Arrowhead Farms,88400.0,25,1007.0,1.1608738828202583,0,1,0,0,0,2025-05-24T22:50:07Z
Arrowview,90816.66666666667,37,1751.0,1.0759565962307254,0,1,0,0,0,2025-05-24T22:50:07Z
Arroyo Viejo,95640.0,42,1549.0,1.067785668173015,0,0,0,1,0,2025-05-24T22:50:07Z
Artcraft Manor,203900.0,40,543.0,0.9779005524861878,0,0,0,0,1,2025-05-24T22:50:07Z
Artesia Pilar,161720.0,26,2321.0,1.015941404566997,1,0,0,0,0,2025-05-24T22:50:07Z
Ashbury Heights,487500.5,45,2542.0,1.017309205350118,0,0,0,1,0,2025-05-24T22:50:07Z
Assumption Parish,210800.0,35,380.0,1.013157894736842,0,0,0,1,0,2025-05-24T22:50:07Z
Atwood,243900.0,0,1423.0,1.0182712579058328,1,0,0,0,0,2025-05-24T22:50:07Z
August,60200.0,36,2265.0,1.0520971302428257,0,1,0,0,0,2025-05-24T22:50:07Z
Autumnwood,125500.0,20,440.0,0.9818181818181818,0,1,0,0,0,2025-05-24T22:50:07Z
Avalon,283300.0,33,3485.0,1.0263988522238163,0,0,0,0,1,2025-05-24T22:50:07Z
Baker Street,81800.0,43,1166.0,1.0102915951972555,0,1,0,0,0,2025-05-24T22:50:07Z
Bakersfield Country Club,140066.66666666666,17,1592.0,1.0678391959798994,0,1,0,0,0,2025-05-24T22:50:07Z
Balboa Park,176466.66666666666,31,5245.0,1.0844613918017159,0,0,0,0,1,2025-05-24T22:50:07Z
Balboa Peninsula,479040.7,27,3506.0,1.1851112378779236,1,0,0,0,0,2025-05-24T22:50:07Z
Baldwin Hills,342650.0,30,1352.0,0.8625398270368685,1,0,0,0,0,2025-05-24T22:50:07Z
Bancroft Business,102220.0,42,1783.0,1.0504767246214246,0,0,0,1,0,2025-05-24T22:50:07Z
Bankers Hill,265512.5,40,3566.0,1.0936623667975323,0,0,0,0,1,2025-05-24T22:50:07Z
Barrett Meadows,157700.0,20,453.0,1.1015452538631347,0,1,0,0,0,2025-05-24T22:50:07Z
Barrio Logan,104240.0,40,956.0,1.141213389121339,0,0,0,0,1,2025-05-24T22:50:07Z
Barron Park,439000.0,30,1323.0,1.002267573696145,0,0,0,1,0,2025-05-24T22:50:07Z
